sname,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17
J1601 聖愛德華天主教小學,9425,130,406,740,1117,1493,1857,2207,2537,2938,3344,3713,4005,4345,4764,5087
J1701 藍田聖保祿中學,3541,64,166,315,442,573,707,850,948,1088,1195,1330,1472,1603,1744,1914
J1702 飛雁幼稚園,6833,109,234,531,782,1048,1323,1583,1837,2119,2408,2679,2924,3173,3480,3849
J1801 藍田(東區)社區會堂,9786,138,416,896,1376,1655,2004,2378,2767,3178,3592,3921,4259,4590,4907,5281
J1802 藍田(南)體育館,7983,111,299,532,898,1298,1672,1972,2356,2681,3036,3392,3695,3990,4424,4848
J1901 聖公會李兆強小學,10707,96,338,716,1144,1589,1863,2288,2645,3037,3440,3833,4211,4616,5161,5628
J2001 聖公會慈光堂聖匠幼稚園,5342,66,211,413,669,890,1118,1356,1587,1837,2070,2272,2488,2763,3000,3352
J2101 保良局方王錦全幼稚園,6113,88,232,435,656,851,1098,1296,1527,1764,2011,2240,2497,2772,3005,3650
J2201 中華基督教會基法小學(油塘),8767,119,352,596,871,1133,1450,1756,2050,2382,2731,3050,3379,3733,4100,4480
J2301 油塘社區會堂,11832,164,443,842,1281,1766,2160,2614,3048,3551,4059,4489,4868,5315,5922,6696
J2302 福建中學附屬學校,4935,52,158,362,561,762,1029,1252,1485,1722,1921,2115,2232,2467,2761,3039
J2401 天主教普照中學,8014,82,280,561,840,1135,1370,1655,1939,2282,2592,2855,3158,3457,3760,4186
J2402 鯉魚門體育館,1068,8,49,88,104,160,200,267,313,364,416,458,490,527,553,617
J2501 茜草灣鄰里社區中心,11980,125,414,858,1398,1935,2429,2880,3419,4065,4564,5224,5890,6196,6724,8496
J2601 藍田 (西區) 社區中心,11670,161,448,796,1279,1706,2251,2251,3273,3781,4179,4816,5094,5545,5987,7457
J2701 天主教佑華小學,11958,86,382,789,1239,1667,2047,2653,3024,3313,3785,4153,4596,4975,5386,5871
J2801 觀塘瑪利諾書院,9158,87,274,582,873,1196,1541,1856,2187,2538,2897,3228,3570,3929,4354,4761
J2901 地利亞修女紀念學校 (月華),7213,97,291,595,894,1231,1550,1796,2133,2427,2750,3049,3315,3602,3955,4405
J3001 瑞和街體育館,4527,114,323,509,719,854,971,1125,1268,1425,1570,1748,1878,2037,2177,2302
J3002 曉光街體育館,3720,57,190,304,460,621,798,930,1105,1263,1451,1635,1781,1944,2116,2325
J3101 觀塘功樂官立中學,7720,118,328,673,949,1230,1510,1829,2126,2396,2758,3055,3338,3672,4093,4491
J3201 聖公會基顯小學,8934,157,351,682,999,1333,1593,1944,2238,2568,2907,3262,3587,3894,4252,4630
J3301 循道衛理觀塘社會服務處牛頭角青少年綜合服務中心,8923,140,462,776,1126,1499,1782,2044,2365,2693,3009,3341,3634,3929,4289,4592
